ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,VALUE_FILE1,VALUE_FILE2
BB-406068899A-406068901A-15021551,20240722,3102493589,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406318870A-406318873A-15021551,20240723,3103001700,BroadBand Closed,PONUMBER,13811252093,458521.0
BB-406318870A-406318873A-15021551,20240723,3103001700,BroadBand Closed,BILLTOADDRESS3,20240730001033.0,20240730000000
BB-406318870A-406318873A-15021551,20240723,3103001700,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406318870A-406318873A-3077666,20240723,3103001702,BroadBand Closed,PONUMBER,13811252093,458521.0
BB-406318870A-406318873A-3077666,20240723,3103001702,BroadBand Closed,BILLTOADDRESS3,20240730001033.0,20240730000000
BB-406318870A-406318873A-3077666,20240723,3103001702,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406318870A-406318873A-9046602,20240723,2830106982,BroadBand Closed,PONUMBER,13811252093,458521.0
BB-406318870A-406318873A-9046602,20240723,2830106982,BroadBand Closed,BILLTOADDRESS3,20240730001033.0,20240730000000
BB-406318870A-406318873A-9046602,20240723,2830106982,BroadBand Closed,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-405674803A-405674806A-15021501,20240719,3101989843,BroadBand Closed,PONUMBER,13811233814,456737.0
BB-405674803A-405674806A-15021501,20240719,3101989843,BroadBand Closed,BILLTOADDRESS3,20240730000555.0,20240730000000
BB-405674803A-405674806A-15021501,20240719,3101989843,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-405409170A-405409173A-18707841,20240718,3101475263,BroadBand Closed,PONUMBER,13811239225,457222.0
BB-405409170A-405409173A-18707841,20240718,3101475263,BroadBand Closed,BILLTOADDRESS3,20240730174850.0,20240730000000
BB-405409170A-405409173A-18707841,20240718,3101475263,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-405409170A-405409173A-71506956,20240718,3101475275,BroadBand Closed,PONUMBER,13811239225,457222.0
BB-405409170A-405409173A-71506956,20240718,3101475275,BroadBand Closed,BILLTOADDRESS3,20240730174850.0,20240730000000
BB-405409170A-405409173A-71506956,20240718,3101475275,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-405409170A-405409173A-12738041,20240718,3101475277,BroadBand Closed,PONUMBER,13811239225,457222.0
BB-405409170A-405409173A-12738041,20240718,3101475277,BroadBand Closed,BILLTOADDRESS3,20240730174850.0,20240730000000
BB-405409170A-405409173A-12738041,20240718,3101475277,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-405674803A-405674806A-3077666,20240719,3101989845,BroadBand Closed,PONUMBER,13811233814,456737.0
BB-405674803A-405674806A-3077666,20240719,3101989845,BroadBand Closed,BILLTOADDRESS3,20240730000555.0,20240730000000
BB-405674803A-405674806A-3077666,20240719,3101989845,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-405674803A-405674806A-4436345,20240719,3101985049,BroadBand Closed,PONUMBER,13811233814,456737.0
BB-405674803A-405674806A-4436345,20240719,3101985049,BroadBand Closed,BILLTOADDRESS3,20240730000555.0,20240730000000
BB-405674803A-405674806A-4436345,20240719,3101985049,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-405904962A-405904964A-2646395,20240721,3102249456,BroadBand Closed,PONUMBER,13811303350,463659.0
BB-405904962A-405904964A-2646395,20240721,3102249456,BroadBand Closed,BILLTOADDRESS3,20240730134839.0,20240730000000
BB-405904962A-405904964A-2646395,20240721,3102249456,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-405904962A-405904964A-18660931,20240721,3102249462,BroadBand Closed,PONUMBER,13811303350,463659.0
BB-405904962A-405904964A-18660931,20240721,3102249462,BroadBand Closed,BILLTOADDRESS3,20240730134839.0,20240730000000
BB-405904962A-405904964A-18660931,20240721,3102249462,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-405115455A-405115458A-8640442,20240716,3100930513,BroadBand Closed,PONUMBER,13811284823,461800.0
BB-405115455A-405115458A-8640442,20240716,3100930513,BroadBand Closed,BILLTOADDRESS3,20240730190823.0,20240730000000
BB-405115455A-405115458A-8640442,20240716,3100930513,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-405904962A-405904964A-3116265,20240721,3102230584,BroadBand Closed,PRODUCTID,3115585,3116265
BB-405904962A-405904964A-3116265,20240721,3102230584,BroadBand Closed,PONUMBER,13811303350,463659.0
BB-405904962A-405904964A-3116265,20240721,3102230584,BroadBand Closed,BILLTOADDRESS3,20240730134839.0,20240730000000
BB-405904962A-405904964A-3116265,20240721,3102230584,BroadBand Closed,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-405904962A-405904964A-3116265,20240721,3102230584,BroadBand Closed,GENERICATTRIBUTE20,Product ID updated based on the Bundle Order,
BB-405904962A-405904964A-3116265,20240721,3102230584,BroadBand Closed,GENERICATTRIBUTE25,17291341.0,17291351.0
BB-405943473A-405943474A-4436345,20240721,3102342566,BroadBand Closed,PONUMBER,13811270170,460294.0
BB-405943473A-405943474A-4436345,20240721,3102342566,BroadBand Closed,BILLTOADDRESS3,20240730144605.0,20240730000000
BB-405943473A-405943474A-4436345,20240721,3102342566,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-405458092A-405458094A-2554735,20240718,3101555672,BroadBand Closed,PONUMBER,13811299468,463263.0
BB-405458092A-405458094A-2554735,20240718,3101555672,BroadBand Closed,BILLTOADDRESS3,20240730174845.0,20240730000000
BB-405458092A-405458094A-2554735,20240718,3101555672,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-405458092A-405458094A-18707771,20240718,3101555676,BroadBand Closed,PONUMBER,13811299468,463263.0
BB-405458092A-405458094A-18707771,20240718,3101555676,BroadBand Closed,BILLTOADDRESS3,20240730174845.0,20240730000000
BB-405458092A-405458094A-18707771,20240718,3101555676,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-405943473A-405943474A-17291351,20240721,3102341560,BroadBand Closed,PRODUCTID,2553785,17291351
BB-405943473A-405943474A-17291351,20240721,3102341560,BroadBand Closed,PONUMBER,13811270170,460294.0
BB-405943473A-405943474A-17291351,20240721,3102341560,BroadBand Closed,BILLTOADDRESS3,20240730144605.0,20240730000000
BB-405943473A-405943474A-17291351,20240721,3102341560,BroadBand Closed,GENERICATTRIBUTE7,SNBB New subscription (Main),
BB-405943473A-405943474A-17291351,20240721,3102341560,BroadBand Closed,GENERICATTRIBUTE20,Product ID updated based on the Bundle Order,
BB-404908076A-404908079A-8640442,20240715,3100555417,BroadBand Closed,PONUMBER,13811318597,465154.0
BB-404908076A-404908079A-8640442,20240715,3100555417,BroadBand Closed,BILLTOADDRESS3,20240730144607.0,20240730000000
BB-404908076A-404908079A-8640442,20240715,3100555417,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-404908076A-404908079A-18707771,20240715,3100558148,BroadBand Closed,PONUMBER,13811318597,465154.0
BB-404908076A-404908079A-18707771,20240715,3100558148,BroadBand Closed,BILLTOADDRESS3,20240730144607.0,20240730000000
BB-404908076A-404908079A-18707771,20240715,3100558148,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-404908076A-404908079A-3077666,20240715,3100558153,BroadBand Closed,PONUMBER,13811318597,465154.0
BB-404908076A-404908079A-3077666,20240715,3100558153,BroadBand Closed,BILLTOADDRESS3,20240730144607.0,20240730000000
BB-404908076A-404908079A-3077666,20240715,3100558153,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-405943473A-405943474A-8640442,20240721,3102341564,BroadBand Closed,PONUMBER,13811270170,460294.0
BB-405943473A-405943474A-8640442,20240721,3102341564,BroadBand Closed,BILLTOADDRESS3,20240730144605.0,20240730000000
