H|20240903 19:31:41|EPC_ProductList|   
RECORD_TYPE|PROMO_CODE|PROMO_DESCRIPTION|START_DATE|END_DATE|AUTO_IND|RANK|MODEL|BRAND|DISCOUNT|SRC|SALES_CHANNEL|TRANS
D|101511490N|$150 OFF HANDSET (FLASH SALE)|2016-01-01T00:00:00|2018-10-26T23:59:59|N||*|*|*|DBU|*|*
D|101511590N|$300 OFF HANDSET (GA ON C3 N ABV)|2016-01-01T00:00:00|2018-10-26T23:59:59|N||*|*|*|DBU|*|*
D|101511890N|$100 OFF APPLE eSIM WATCH |2018-09-06T00:00:00|2018-10-26T23:59:59|N||*|*|*|DBU|*|*
D|101513610N|$177 OFF HANDSET (07.07 PROMO)|2016-01-01T00:00:00|2018-10-26T23:59:59|N||*|*|*|DBU|*|*
D|101513780N|$150 OFF HANDSET (CEE N VESAK PROMO)|2016-01-01T00:00:00|2018-10-26T23:59:59|N||*|*|*|DBU|*|*
D|101512510N|OLS_$50 OFF CIS SAMSUNG HANDSET|2016-01-01T00:00:00|2018-10-31T23:59:59|N||*|*|*|CIS|*|*
D|101512530N|$200 OFF CIS IPHONE 8/8P/X (GA C3 N ABV)|2018-04-21T00:00:00|2018-10-31T23:59:59|N||*|*|*|CIS|*|*
D|101513300N|$300 OFF CIS IPHONE (C2 N ABV W DATAX3)|2018-07-21T00:00:00|2018-10-31T23:59:59|N||*|*|*|CIS|*|*
D|101514570N|$50 OFF CIS HANDSET W MOBILESHARE|2016-01-01T00:00:00|2018-10-31T23:59:59|N||*|*|*|CIS|*|*
D|101514840N|$15 OFF W MOBILESWOP ULTD (12-MTHS)|2016-01-01T00:00:00|2018-11-29T23:59:59|N||*|*|*|DBU|*|*
D|101514860N|$50 OFF HANDSET (CI UPGRADE)|2016-01-01T00:00:00|2018-11-29T23:59:59|N||*|*|*|DBU|*|*
D|101511060N|$100 OFF HANDSET (GA ROADSHOW)|2018-10-27T00:00:00|2018-11-30T23:59:59|N||*|*|*|DBU|*|*
D|101511330N|$138 OFF OPPO A75 (GA ON C2)|2017-12-02T00:00:00|2018-11-30T23:59:59|N||*|*|*|DBU|*|*
D|101511590N|$50 OFF HANDSET (ROADSHOW)|2018-10-27T00:00:00|2018-11-30T23:59:59|N||*|*|*|DBU|*|*
D|101513530N|$100 OFF HUAWEI MATE 10 (GA C2)|2016-01-01T00:00:00|2018-11-30T23:59:59|N||*|*|*|DBU|*|*
D|101513610N|$150 OFF HANDSET (ROADSHOW)|2018-10-27T00:00:00|2018-11-30T23:59:59|N||*|*|*|DBU|*|*
D|101513780N|$100 OFF HANDSET (CI W UPGRADE PLAN ROADSHOW)|2018-10-27T00:00:00|2018-11-30T23:59:59|N||*|*|*|DBU|*|*
D|101511060N|$100 OFF HANDSET (COMBO XO)|2018-12-01T00:00:00|2018-12-07T23:59:59|N||*|*|*|DBU|*|*
D|101511310N|$391 OFF SAMSUNG S8 (SIM ONLY IPP)|2016-01-01T00:00:00|2018-12-07T23:59:59|N||*|*|*|DBU|*|*
D|101512950N|$58 OFF SAMSUNG J7 DUO (GA COMBO 2)|2016-01-01T00:00:00|2018-12-07T23:59:59|N||*|*|*|DBU|*|*
D|101513230N|OLS_$30 OFF NOTE8 AND S8P|2016-01-01T00:00:00|2018-12-07T23:59:59|N||*|*|*|DBU|*|*
D|101513270N|$148 OFF OPPO R15 (GA C3 N ABV)|2016-01-01T00:00:00|2018-12-07T23:59:59|N||*|*|*|DBU|*|*
D|101514690N|$200 OFF SAMSUNG NOTE8 (GA ONLY)|2016-01-01T00:00:00|2018-12-07T23:59:59|N||*|*|*|DBU|*|*
D|101514830N|$268 OFF IPHONE 8 64GB (GA COMBO XO)|2016-01-01T00:00:00|2018-12-07T23:59:59|N||*|*|*|DBU|*|*
D|101514860N|$20 OFF ACCESSORY (NS PROMO)|2018-11-30T00:00:00|2018-12-07T23:59:59|N||*|*|*|DBU|*|*
D|101510040N|$50 OFF SAMSUNG S9_S9P WITH FIBRE|2016-01-01T00:00:00|2019-01-11T23:59:59|N||*|*|*|DBU|*|*
D|101511060N|$200 OFF HANDSET (COMBO XO)|2018-12-08T00:00:00|2019-01-11T23:59:59|N||*|*|*|DBU|*|*
D|101513310N|CIS MOBILESWOP/APPLEMUSIC & X4 BDL@$26.90|2018-09-29T00:00:00|2019-01-11T23:59:59|N||*|*|*|CIS|*|*
D|101514580N|$398 OFF CIS Tab A8 W MobileShare (Note9)|2018-04-21T00:00:00|2019-01-11T23:59:59|N||*|*|*|CIS|*|*
D|101510040N|$188 OFF HANDSET W X 4 / INFINITY (GA/CI ON C3 N ABV)|2019-01-12T00:00:00|2019-01-18T23:59:59|N||*|*|*|DBU|*|*
D|101511060N|$88 OFF HANDSET W DATA X 3 (GA/CI ON C3 N ABV)|2019-01-12T00:00:00|2019-01-18T23:59:59|N||*|*|*|DBU|*|*
D|101511990N|$225 OFF IPHONE X 256GB|2016-01-01T00:00:00|2019-01-18T23:59:59|N||*|*|*|DBU|*|*
D|101511150N|$50 DISC OFF IPHONE3GS W 12MTHS BBOM VAS|2016-01-01T00:00:00|2019-01-25T23:59:59|N||*|*|*|DBU|*|*
D|101514700N|$30 OFF TABLET (MBB)|2018-12-01T00:00:00|2019-01-25T23:59:59|N||*|*|*|DBU|*|*
D|101511220N|$50 OFF 3G HANDSET W/MOBILEMAIL EXCHANGE|2016-01-01T00:00:00|2019-02-15T23:59:59|N||*|*|*|DBU|*|*
D|101513240N|SINGTEL IPP (MOBILE BB) 24 MTHS |2016-01-01T00:00:00|2019-02-15T23:59:59|N||*|*|*|DBU|*|*
D|101513250N|SINGTEL IPP (MOBILE) 24 MTHS|2016-01-01T00:00:00|2019-02-15T23:59:59|N||*|*|*|DBU|*|*
D|101510090N|$398 OFF Tab A8 W MobileShare (N9 promo)|2018-10-06T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101510160N|$170 OFF SAMSUNG NOTE9 (GA COMBO XO)|2018-09-06T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101510360N|$200 OFF HANDSET W DATA X INFINITY|2016-01-01T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101510680N|$198 OFF SAMSUNG TAB A (7.0")|2016-01-01T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101511260N|$100 OFF IPHONE 6S PLUS 32GB|2016-01-01T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101511360N|$35 OFF HANDSET-PLAZA SING ANNIVERSARY|2016-01-01T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101512630N|$138 OFF SAMSUNG J7 PRO (GA COMBO 2)|2016-01-01T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101513780N|$100 OFF HANDSET (GA/CI C3 N ABV)|2018-12-01T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101514690N|$100 OFF HANDSET (COMBO XO)|2018-12-08T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101514890N|$50 ACCESSORIES DISCOUNT-NOTE9|2016-01-01T00:00:00|2019-03-01T23:59:59|N||*|*|*|DBU|*|*
D|101510340N|$100 OFF RRP HANDSET WITH FIBRE |2016-01-01T00:00:00|2019-03-15T23:59:59|N||*|*|*|DBU|*|*
D|101511080N|$320 OFF SAMSUNG NOTE9 (GA COMBO XO)|2018-09-06T00:00:00|2019-03-15T23:59:59|N||*|*|*|DBU|*|*
D|101512650N|$100 OFF NOTE9 (TRADE-IN PROMO)|2018-09-15T00:00:00|2019-03-15T23:59:59|N||*|*|*|DBU|*|*
D|101513310N|$88 OFF CIS HANDSET W DATA X 3|2019-01-12T00:00:00|2019-03-15T23:59:59|N||*|*|*|CIS|*|*
D|101511120N|$98 OFF HUAWEI NOVA 3I (GA COMBO 2)|2018-09-15T00:00:00|2019-03-29T23:59:59|N||*|*|*|DBU|*|*
D|101511150N|$235 OFF TABLET|2019-01-26T00:00:00|2019-03-29T23:59:59|N||*|*|*|DBU|*|*
D|101514580N|$188 OFF CIS HANDSET W DATA|2019-01-12T00:00:00|2019-03-29T23:59:59|N||*|*|*|CIS|*|*
D|101512530N|$200 OFF CIS HANDSET (PLAN UPGRADE)|2018-11-01T00:00:00|2019-03-31T23:59:59|N||*|*|*|CIS|*|*
D|101513310N|$300 OFF CIS HANDSET NEW/PORT IN|2019-03-16T00:00:00|2019-03-31T23:59:59|N||*|*|*|CIS|*|*
D|101513660N|$150 OFF CIS HANDSET PORT IN DISCOUNT|2016-01-01T00:00:00|2019-03-31T23:59:59|N||*|*|*|DBU|*|*
D|101513670N|$200 OFF CIS HANDSET PORT IN DISCOUNT|2016-01-01T00:00:00|2019-03-31T23:59:59|N||*|*|*|DBU|*|*
D|101510040N|$188 OFF HANDSET W X 4 / INFINITY|2019-01-19T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101510670N|$50 OFF HANDSET (CI C3 N ABV)|2016-01-01T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101511060N|$88 OFF HANDSET W DATA X 3|2019-01-19T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101511360N|$108 OFF HANDSET (XO 108)|2019-03-02T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101512400N|$50 OFF HANDSET W MOBILESHARE|2016-01-01T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101513240N|$320 OFF TABLET|2019-02-16T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101513250N|$290 OFF TABLET|2019-02-16T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101513270N|OLS_$186 SAMSUNG J2 PRO|2018-12-08T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101513420N|OLS_$237 OFF OPPO R15 PRO|2016-01-01T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101514700N|$200 OFF TABLET|2019-01-26T00:00:00|2019-05-03T23:59:59|N||*|*|*|DBU|*|*
D|101511440N|MOBILESWOP/APPLEMUSIC & X4 BDL@$26.90|2018-09-17T00:00:00|2019-05-10T23:59:59|N||*|*|*|DBU|*|*
D|101510670N|$100 OFF HANDSET (GA/CI C3 N ABV)|2019-05-04T00:00:00|2019-05-17T23:59:59|N||*|*|*|DBU|*|*
D|101514420N|OLS_$367 OFF PIXEL OR S9|2016-01-01T00:00:00|2019-05-17T23:59:59|N||*|*|*|DBU|*|*
D|101514690N|$78 OFF HANDSET (XO 78)|2019-03-02T00:00:00|2019-05-17T23:59:59|N||*|*|*|DBU|*|*
D|101510090N|$200 OFF HANDSET PORT IN DISCOUNT|2019-03-02T00:00:00|2019-05-28T23:59:59|N||*|*|*|DBU|*|*
D|101510190N|$100 OFF APPLE WATCH W IPHONE (CWP XMAS 18)|2018-10-27T00:00:00|2019-05-28T23:59:59|N||*|*|*|DBU|*|*
D|101511220N|$70 OFF HANDSET (GENECO PROMO)|2019-02-16T00:00:00|2019-05-28T23:59:59|N||*|*|*|DBU|*|*
D|101512630N|$48 OFF HANDSET (XO 48)|2019-03-02T00:00:00|2019-05-28T23:59:59|N||*|*|*|DBU|*|*
D|101514410N|$50 OFF SAMSUNG WATCH LTE|2019-05-18T00:00:00|2019-05-28T23:59:59|N||*|*|*|DBU|*|*
D|101514840N|$15 OFF W MOBILESWOP ULTD (12-MTHS)|2018-11-30T00:00:00|2019-05-28T23:59:59|N||*|*|*|DBU|*|*
D|101513270N|$100 OFF HANDSET (GA C6 N C12)|2019-05-04T00:00:00|2019-06-07T23:59:59|N||*|*|*|DBU|*|*
D|101513420N|$50 OFF HANDSET (GA C2 N C3)|2019-05-04T00:00:00|2019-06-07T23:59:59|N||*|*|*|DBU|*|*
D|101514430N|$100 OFF HANDSET (GA/CI C3 N ABV)|2019-05-04T00:00:00|2019-06-07T23:59:59|N||*|*|*|DBU|*|*
D|101510160N|$50 OFF HANDSET (C2 N ABV EXCL XO PLANS)|2019-03-02T00:00:00|2019-06-14T23:59:59|N||*|*|*|DBU|*|*
D|101512630N|$350 EARLY CI WAIVER|2019-05-29T00:00:00|2019-06-14T23:59:59|N||*|*|*|DBU|*|*
D|101513780N|$50 OFF HANDSET WITH DATA X 3|2019-03-02T00:00:00|2019-06-14T23:59:59|N||*|*|*|DBU|*|*
D|101510340N|$50 OFF HANDSET (GENECO 1ST YR ANNI)|2019-03-16T00:00:00|2019-06-20T23:59:59|N||*|*|*|DBU|*|*
D|101511440N|$189 OFF OJOY A1 4G SMART WATCH|2019-05-11T00:00:00|2019-06-20T23:59:59|N||*|*|*|DBU|*|*
D|101514700N|UOB $50 DISCOUNT|2019-05-04T00:00:00|2019-06-20T23:59:59|N||*|*|*|DBU|*|*
D|380014940N|$50 ACCESSORIES VOUCHER|2017-11-18T00:00:00|2019-06-20T23:59:59|N||*|*|*|DBU|*|*
D|399941050V|$50 ACCESSORIES VOUCHER|2017-11-18T00:00:00|2019-06-20T23:59:59|N||*|*|*|DBU|*|*
D|101512630N|$298 OFF TAB A W MOBILESHARE|2019-06-15T00:00:00|2019-06-21T23:59:59|N||*|*|*|DBU|*|*
D|101510770N|$100 OFF IPHONE 7P|2019-04-20T00:00:00|2019-06-28T23:59:59|N||*|*|*|DBU|*|*
D|380014990N|$50 ACCESSORIES VOUCHER (N9)|2016-01-01T00:00:00|2019-06-28T23:59:59|N||*|*|*|DBU|*|*
D|101511480N|$298 OFF IPHONE XR|2019-06-29T00:00:00|2019-07-19T23:59:59|N||*|*|*|DBU|*|*
D|101511520N|$100 OFF IPHONE XS|2019-06-29T00:00:00|2019-07-19T23:59:59|N||*|*|*|DBU|*|*
D|101511640N|OLS_$50 OFF CIS MOBILE RECON|2016-01-01T00:00:00|2019-07-19T23:59:59|N||*|*|*|CIS|*|*
D|101512370N|$200 OFF SAMSUNG TV|2019-07-13T00:00:00|2019-07-19T23:59:59|N||*|*|*|DBU|*|*
D|101512520N|$50 OFF HANDSET (SIM ONLY-CIS)|2016-01-01T00:00:00|2019-07-19T23:59:59|N||*|*|*|CIS|*|*
D|101514420N|$1000 OFF SAMSUNG TV|2019-05-18T00:00:00|2019-07-19T23:59:59|N||*|*|*|DBU|*|*
D|101514560N|$50 OFF CIS HANDSET (SHOP ONLY)|2017-05-13T00:00:00|2019-07-19T23:59:59|N||*|*|*|CIS|*|*
D|101514690N|$1800 OFF SAMSUNG TV|2019-05-18T00:00:00|2019-07-19T23:59:59|N||*|*|*|DBU|*|*
D|101510040N|$100 OFF HANDSET (CI C3 N ABV)|2019-05-04T00:00:00|2019-07-26T23:59:59|N||*|*|*|DBU|*|*
D|101512640N|$250 OFF HANDSET (GA/CI C2 N ABV) |2019-07-13T00:00:00|2019-07-26T23:59:59|N||*|*|*|DBU|*|*
D|101510090N|$100 OFF HANDSET PORT IN DISCOUNT|2019-05-29T00:00:00|2019-08-08T23:59:59|N||*|*|*|DBU|*|*
D|101510160N|$80 OFF TABLET W MOBILESHARE|2019-06-15T00:00:00|2019-08-08T23:59:59|N||*|*|*|DBU|*|*
D|101511080N|BTL_$200 OFF HANDSET (GA C2 N ABV)|2019-03-16T00:00:00|2019-08-08T23:59:59|N||*|*|*|DBU|*|*
