H|20240228 22:21:02|EPC_ProductList|   
RECORD_TYPE|PRODUCT_ID|PRODUCT_DESCRIPTION|SERVICE_TYPE|BUSINESS_PRODUCT_TYPE|PRODUCT_FAMILY|LIST_PRICE|SPEED|EFFECTIVE_DATE|EXPIRATION_DATE|PO_TYPE|FV_SVC_TECHNOLOGY|OFFER_TYPE
D|9439243|Free 2 mths on No Contract Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439253|Free 3 mths on No Contract Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439263|Free 3 mths on 6 No Contract Singtel TV GO Service - Watch TV (1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439273|50% Discount for 1 mths on No Contract Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439293|50% Discount for 3 mths on No Contract Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439343|50% Discount for 3 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439353|50% Discount for 6 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439373|50% Discount for 12 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439383|Free 3 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439393|Free 6 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439403|Free 9 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439413|Free 12 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439433|Free 24 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439483|50% Discount for 18 mths on 24 mths Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439493|50% Discount for 24 mths on 24 mths Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439503|50% Discount for 1 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439513|50% Discount for 2 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439523|Free 1 mth on Singtel TV GO Service - Watch TV (5/3/1Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|9439533|Free 2 mths on Singtel TV GO Service - Watch TV (5/3/1 Devices)|TV|VAS|Disc TV||null|19900101|21200101|||
D|8682122|100% Discount on Singtel Home Digital Line (Call Privacy Pack) (CT: 0 mth) (Duration: 24 months, Percent: 100%)|FV|VAS|Disc FV||null|20100817|null|FHB|Fibre|
D|9625983|Staff Disc. (50% on VAS,34% on min. Spend)|TV|VAS|DiscStaff||null|19900101|21200101|||
D|9625983|Staff Disc. (50% on VAS,34% on min. Spend)|TV|null|DiscStaff|0|null|19900101|21200101|||
D|10032981|Data Add-on Subscription Discount (For Sim Only Starter Pack) - 50%|MOB|VAS|Dics Mobile||null|19900101|21200101|||Regular
D|10032991|SMS Add-on Subscription Discount (For Sim Only Starter Pack) - 20%|MOB|VAS|Dics Mobile||null|19900101|21200101|||Regular
D|10033101|SMS Add-on Subscription Discount (For Sim Only Starter Pack) - 50%|MOB|VAS|Dics Mobile||null|19900101|21200101|||Regular
D|10034581|Talktime Add-on Subscription Discount (For Sim Only Starter Pack) - 50%|MOB|VAS|Dics Mobile||null|19900101|21200101|||Regular
D|10237431|DVR STB 500GB for 24 mths $4.58/ $1.78 (excl GST)|TV|VAS|DiscSTB_DVR||null|19900101|21200101|||
D|10237431|DVR STB 500GB for 24 mths $4.58/ $1.78 (excl GST)|TV|null|DiscSTB_DVR||null|19900101|21200101|||
D|10237441|DVR STB 500GB for 12 mths $4.58/ $1.78 (excl GST)|TV|VAS|DiscSTB_DVR||null|19900101|21200101|||
D|10237441|DVR STB 500GB for 12 mths $4.58/ $1.78 (excl GST)|TV|null|DiscSTB_DVR||null|19900101|21200101|||
D|10425111|Discount on Bundle Plan 22.25% (Duration:infinite)|GLP|VAS|Fibre Ent Bundle||null|19900101|null|FHB|PSTN|
D|10425221|Discount on Fibre Hm Plan (Duration: 24 mths, Percentage: 18.6%)|GLP|VAS|Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|10425641|Discount on Fibre Hm Plan (Free 10 mth)|GLP|VAS|Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|10425651|Discount on Fibre Hm Plan (Free 11 mth)|GLP|VAS|Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|10425661|Discount on Fibre Hm Plan (Free 12 mth)|GLP|VAS|Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|10425671|Discount on Fibre Hm Plan (Free 7 mth)|GLP|VAS|Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|10425681|Discount on Fibre Hm Plan (Free 8 mth)|GLP|VAS|Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|10425691|Discount on Fibre Hm Plan (Free 9 mth)|GLP|VAS|Fibre Home Plan||null|19900101|21200101|FHB|PSTN|
D|10425841|Free Anti-Spam Svc (1 mth)|FBB|VAS|Disc Anti-Spam||null|19900101|21200101|FHB|PSTN|
D|10430901|100% Discount Singtel Home Digital Line VAS Basic Pakg (12 mths)|FV|VAS|Disc FV||null|19900101|21200101|FHB|Fibre|
D|10430911|100% Discount on 1st Singtel Telephone Line (Promo with Jingxuan)|FV|VAS|Disc FV||null|19900101|21200101|FV|PSTN|
