ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
BB-406665696A-406665697A-3116265,20240725,3103546266,BroadBand Submitted,PONUMBER,13798295104.0,12570.0
BB-406665696A-406665697A-3116265,20240725,3103546266,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406665720A-406665721A-2572995,20240725,3103547240,BroadBand Submitted,PONUMBER,13798283890.0,12390.0
BB-406665720A-406665721A-2572995,20240725,3103547240,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406665743A-406665744A-3281576,20240725,3102056467,BroadBand Submitted,PONUMBER,13798226881.0,11413.0
BB-406665743A-406665744A-3281576,20240725,3102056467,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406665743A-406665744A-3622025,20240725,3102056468,BroadBand Submitted,PONUMBER,13798226881.0,11413.0
BB-406665743A-406665744A-3622025,20240725,3102056468,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406676039A-406676040A-71152596,20240725,3103568550,BroadBand Submitted,PONUMBER,13798269469.0,12161.0
BB-406676039A-406676040A-71152596,20240725,3103568550,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406676039A-406676040A-2277285,20240725,3103568552,BroadBand Submitted,PONUMBER,13798269469.0,12161.0
BB-406676039A-406676040A-2277285,20240725,3103568552,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406656564A-406656565A-9046602,20240725,2217518298,BroadBand Submitted,PONUMBER,13798283969.0,12392.0
BB-406656564A-406656565A-9046602,20240725,2217518298,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406656775A-406656778A-17291351,20240725,3103525568,BroadBand Submitted,PONUMBER,13798261836.0,12021.0
BB-406656775A-406656778A-17291351,20240725,3103525568,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406656866A-406656871A-17291351,20240725,3103525914,BroadBand Submitted,PONUMBER,13798296336.0,12593.0
BB-406656866A-406656871A-17291351,20240725,3103525914,BroadBand Submitted,GENERICATTRIBUTE7,SNBB New subscription (Main),
BB-406657017A-406657018A-17291351,20240725,3103526412,BroadBand Submitted,PONUMBER,13798207334.0,11096.0
BB-406657017A-406657018A-17291351,20240725,3103526412,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406613077A-406613078A-18655531,20240725,3103440005,BroadBand Submitted,PONUMBER,13798287010.0,12438.0
BB-406613077A-406613078A-18655531,20240725,3103440005,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406613316A-406613317A-71964226,20240725,3098605608,BroadBand Submitted,PONUMBER,13753949483.0,11607.0
BB-406613316A-406613317A-71964226,20240725,3098605608,BroadBand Submitted,COMMENTS,Ceased Txn - BB-403718279A-403718282A-71964226-20240708-3098605608,Cessation Txn
BB-406613316A-406613317A-71964226,20240725,3098605608,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406662193A-406662194A-2646395,20240725,3103540135,BroadBand Submitted,PONUMBER,13798238477.0,11606.0
BB-406662193A-406662194A-2646395,20240725,3103540135,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406662193A-406662194A-15021551,20240725,3103540137,BroadBand Submitted,PONUMBER,13798238477.0,11606.0
BB-406662193A-406662194A-15021551,20240725,3103540137,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406662193A-406662194A-15021501,20240725,3103540138,BroadBand Submitted,PONUMBER,13798238477.0,11606.0
BB-406662193A-406662194A-15021501,20240725,3103540138,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406662393A-406662396A-17291351,20240725,2837846262,BroadBand Submitted,PONUMBER,13798258239.0,11947.0
