ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
TV-406673147A-406673148A9441983P,25072024,92072583,TV Submitted,PONUMBER,13809205823,19236.0
TV-406673147A-406673148A10242181P,25072024,92072585,TV Submitted,PONUMBER,13809205823,19236.0
TV-406673147A-406673148A10242181P,25072024,92072586,TV Submitted,PONUMBER,13809205823,19236.0
TV-406673147A-406673148A40057212P,25072024,2662275328,TV Submitted,PONUMBER,13809205823,19236.0
TV-406673147A-406673148A8847212P,25072024,3016475544,TV Submitted,PONUMBER,13809205823,19236.0
TV-406673147A-406673148A8847772P,25072024,3016475546,TV Submitted,PONUMBER,13809205823,19236.0
TV-406673147A-406673148A13883621P,25072024,3016475548,TV Submitted,PONUMBER,13809205823,19236.0
TV-406673147A-406673148A19569211P,25072024,3016475549,TV Submitted,PONUMBER,13809205823,19236.0
TV-406673147A-406673148A3371136P,25072024,3076730852,TV Submitted,PONUMBER,13809205823,19236.0
TV-406665624A-406665625A10242181P,25072024,2736142142,TV Submitted,PONUMBER,13809180514,18613.0
TV-406665624A-406665625A2225965P,25072024,2910888732,TV Submitted,PONUMBER,13809180514,18613.0
TV-406642061A-406642062A71315676P,25072024,3103486023,TV Submitted,PONUMBER,13809186902,18690.0
TV-406642061A-406642062A71795276P,25072024,3056595636,TV Submitted,PONUMBER,13809186902,18690.0
TV-406642061A-406642062A8848052P,25072024,3103486019,TV Submitted,PONUMBER,13809186902,18690.0
TV-406642061A-406642062A10426381P,25072024,3103486021,TV Submitted,PONUMBER,13809186902,18690.0
TV-406642061A-406642062A9187882P,25072024,3103486025,TV Submitted,PONUMBER,13809186902,18690.0
TV-406642061A-406642062A11652531P,25072024,3103486027,TV Submitted,PONUMBER,13809186902,18690.0
TV-406642061A-406642062A18926454P,25072024,3103486029,TV Submitted,PONUMBER,13809186902,18690.0
TV-406599779A-406599780A10242181P,25072024,92444873,TV Submitted,PONUMBER,13661082227,18864.0
TV-406599779A-406599780A14942P,25072024,3012019500,TV Submitted,PONUMBER,13661082227,18864.0
TV-406599779A-406599780A8848062P,25072024,3012032659,TV Submitted,PONUMBER,13661082227,18864.0
TV-406599779A-406599780A19569381P,25072024,3012032660,TV Submitted,PONUMBER,13661082227,18864.0
TV-406599779A-406599780A25946604P,25072024,3088117014,TV Submitted,PONUMBER,13661082227,18864.0
TV-406599779A-406599780A18007451P,25072024,3088117016,TV Submitted,PONUMBER,13661082227,18864.0
TV-406643219A-406643220A10242181P,25072024,99880351,TV Submitted,PONUMBER,13809197983,19002.0
TV-406643219A-406643220A8901882P,25072024,2175954640,TV Submitted,PONUMBER,13809197983,19002.0
TV-406607818A-406607819A8901882P,25072024,14431230,TV Submitted,PONUMBER,13809175742,18555.0
TV-406656600A-406656601A8901882P,25072024,2853110136,TV Submitted,PONUMBER,13809186111,18684.0
TV-406656600A-406656601A14942P,25072024,2853110137,TV Submitted,PONUMBER,13809186111,18684.0
TV-406656600A-406656601A19569211P,25072024,2992564827,TV Submitted,PONUMBER,13809186111,18684.0
